hotel_id,name,price,price_in_table,distance,type_room,room_size,hotel_star,sea_view,mountain_view,city_view,room_name,number_of_guests,private_bathroom,private_pool,rooftop_pool,minibar,barbecue,soundproofing,sauna,spa_bath,garden_view,number_of_bedrooms,url
11,Blue Sea Villa Vũng Tàu 5,"VND 6,790,000","VND 6,790,000",1.2 km from centre,Entire villa,400 m²,0,0.0,1.0,1.0,Villa,10,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,https://www.booking.com/hotel/vn/blue-sea-villa-vung-tau-5.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=821670601_393365273_10_0_0&highlighted_blocks=821670601_393365273_10_0_0&matching_block_id=821670601_393365273_10_0_0&sr_pri_blocks=821670601_393365273_10_0_0__679000000&from_sustainable_property_sr=1&from=searchresults
12,Victory Villa 82 - Gần Biển Bãi Trước,"VND 3,750,000","VND 3,750,000",1.4 km from centre,Entire villa,350 m²,0,0.0,0.0,0.0,Villa,15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,https://www.booking.com/hotel/vn/victory-villa-82-gan-bien-bai-truoc.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=897355201_360662445_15_0_0&highlighted_blocks=897355201_360662445_15_0_0&matching_block_id=897355201_360662445_15_0_0&sr_pri_blocks=897355201_360662445_15_0_0__375000000&from_sustainable_property_sr=1&from=searchresults
13,Victory Villa 433 - Bida - Hồ Bơi - Sân Vườn - Karaoke - Gần Biển,"VND 4,125,000","VND 4,125,000",1.5 km from centre,Entire villa,350 m²,0,0.0,0.0,0.0,Villa,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,https://www.booking.com/hotel/vn/victory-villa-433-ho-boi-san-vuon-karaoke-gan-bien.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=949593101_367866609_15_0_0&highlighted_blocks=949593101_367866609_15_0_0&matching_block_id=949593101_367866609_15_0_0&sr_pri_blocks=949593101_367866609_15_0_0__412500000&from_sustainable_property_sr=1&from=searchresults
14,"T-Maison Riad Villa, with Pool, Karaoke, Billiards, near beach, Vung Tau","VND 7,367,330","VND 7,367,330",1.9 km from centre,Entire villa,260 m²,0,0.0,0.0,0.0,Villa with Private Pool,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,https://www.booking.com/hotel/vn/t-maison-riad-morocco-style-villa-at-vung-tau-near-beach.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=896230501_390456754_10_0_0&highlighted_blocks=896230501_390456754_10_0_0&matching_block_id=896230501_390456754_10_0_0&sr_pri_blocks=896230501_390456754_10_0_0__736733000&from_sustainable_property_sr=1&from=searchresults
15,Villages HOÀNG ĐỨC VT BÃI SAU Karaoke PHÒNG RIÊNG,"VND 4,032,553","VND 3,689,406",1.9 km from centre,Entire villa,56 m²,0,1.0,1.0,1.0,Villa,25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/villages-hoang-duc-mac-thanh-dam-bai-sau.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1148331501_388835700_25_0_0&highlighted_blocks=1148331501_388835700_25_0_0&matching_block_id=1148331501_388835700_25_0_0&sr_pri_blocks=1148331501_388835700_25_0_0__403255300&from_sustainable_property_sr=1&from=searchresults
16,Villa Hồ Bơi HOÀNG ĐỨC CỘT CỜ Vũng Tàu,"VND 2,949,138","VND 2,949,138",0.9 km from centre,Entire villa,289 m²,0,1.0,1.0,1.0,Villa,21,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/villa-ho-boi-vali-hoang-hoa-tham.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1059427701_388835730_21_0_0&highlighted_blocks=1059427701_388835730_21_0_0&matching_block_id=1059427701_388835730_21_0_0&sr_pri_blocks=1059427701_388835730_21_0_0__294913800&from_sustainable_property_sr=1&from=searchresults
17,Biệt Thự HỒ BƠI - BIDA - KARAOKE - GAME BẮN CÁ,"VND 3,854,340","VND 3,854,340",1.2 km from centre,Entire villa,345 m²,0,1.0,1.0,1.0,Villa,22,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,https://www.booking.com/hotel/vn/biet-thu-ho-boi-bida-karaoke-game-ban-ca.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1185975501_390968328_22_0_0&highlighted_blocks=1185975501_390968328_22_0_0&matching_block_id=1185975501_390968328_22_0_0&sr_pri_blocks=1185975501_390968328_22_0_0__385434000&from_sustainable_property_sr=1&from=searchresults
18,AnNam Village,"VND 5,400,000","VND 5,400,000",1.9 km from centre,Entire villa,180 m²,0,0.0,0.0,1.0,Villa,12,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,https://www.booking.com/hotel/vn/annam-village.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1030297201_394155624_12_32_0&highlighted_blocks=1030297201_394155624_12_32_0&matching_block_id=1030297201_394155624_12_32_0&sr_pri_blocks=1030297201_394155624_12_32_0__540000000&from_sustainable_property_sr=1&from=searchresults
19,Hoàng My Homestay,"VND 2,450,000","VND 2,450,000",1.8 km from centre,Entire villa,500 m²,0,0.0,0.0,0.0,Villa,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,https://www.booking.com/hotel/vn/hoang-my-homestay-vung-tau.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=1171486101_389690338_20_0_0&highlighted_blocks=1171486101_389690338_20_0_0&matching_block_id=1171486101_389690338_20_0_0&sr_pri_blocks=1171486101_389690338_20_0_0__245000000&from=searchresults
20,Villa Hai An,"VND 4,400,000","VND 4,400,000",450 m from centre,Entire villa,900 m²,0,1.0,1.0,1.0,Villa with Private Pool,16,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,https://www.booking.com/hotel/vn/hai-an-villa-vung-tau.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaPQBiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALfh_mzBsACAdICJGVhYTdkNjZiLTQ5NjEtNDRlMy05YTkwLTRlZDA2NDgxYjQ2Y9gCBeACAQ&sid=20394c3452926236aad651478adb440c&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-14&checkout=2024-08-15&dest_id=-3733750&dest_type=city&group_adults=5&req_adults=5&no_rooms=2&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=ht_id%3D213&srpvid=9a3a36b405230c95&srepoch=1720165941&all_sr_blocks=893690701_362955364_16_0_0&highlighted_blocks=893690701_362955364_16_0_0&matching_block_id=893690701_362955364_16_0_0&sr_pri_blocks=893690701_362955364_16_0_0__440000000&from_sustainable_property_sr=1&from=searchresults
